ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
115,5,5,5,5,6,7,6,5,6,7,5,6,7,7,6,5,6,6,5,6,5,6,6,6,5,5,7,6,6,7,4,4,5,6,5,5,7,5,6,5,6,6,6,6,6,6,6,5
116,4,5,3,5,3,4,6,5,4,5,5,5,6,3,5,4,5,4,4,5,5,5,4,4,5,6,4,4,3,6,5,5,4,3,4,5,3,6,5,4,5,6,4,6,5,6,2,3
117,6,7,4,5,5,5,7,7,7,7,5,6,7,5,4,5,6,5,7,7,7,7,5,7,6,7,7,6,6,7,4,7,3,7,7,7,6,7,4,4,7,7,3,7,7,7,5,7
118,3,5,2,3,1,2,3,6,2,6,1,2,7,4,1,2,1,1,3,7,6,5,1,5,2,6,6,1,2,7,3,5,2,6,6,6,6,6,6,6,6,7,1,7,7,7,2,5
119,5,5,5,5,6,5,6,6,4,5,5,5,6,5,5,5,4,5,5,5,5,5,5,5,6,5,5,4,5,5,5,6,5,5,6,5,4,5,5,5,6,6,6,5,6,5,5,6
120,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
121,5,7,6,6,5,6,6,6,6,6,6,7,7,6,6,5,6,6,6,7,4,7,6,7,6,7,7,6,6,7,6,6,7,7,6,7,6,3,4,3,7,7,2,5,6,4,5,6
122,7,7,7,7,7,7,7,7,7,7,7,6,7,7,5,6,6,7,7,7,7,7,7,7,7,7,6,7,7,6,7,7,5,7,7,7,6,7,7,6,6,7,5,7,7,7,7,7
123,7,6,6,7,7,5,5,7,6,7,3,6,7,6,6,4,4,6,5,6,6,7,3,7,5,5,7,5,5,6,5,7,6,4,5,6,7,5,6,6,6,6,6,7,6,6,6,3
124,2,4,4,4,4,4,4,6,2,4,6,2,4,1,4,2,4,5,5,6,4,1,4,4,3,4,4,4,5,4,4,4,1,4,5,5,3,4,4,4,4,6,4,5,4,4,4,4
125,6,6,5,6,4,3,6,6,5,6,5,6,6,6,4,3,5,5,6,6,6,4,5,6,5,5,6,5,6,6,5,6,6,5,6,6,6,5,6,4,6,6,3,6,6,5,5,4
126,7,7,5,7,7,6,7,6,6,6,7,6,7,7,5,5,6,6,7,7,6,6,6,6,7,7,7,6,6,7,7,6,6,6,7,7,7,6,7,7,6,7,7,6,6,6,6,7
127,5,6,2,4,3,3,6,7,6,4,3,6,4,6,3,2,2,2,6,3,5,6,3,5,3,7,2,4,3,2,3,6,3,5,4,5,2,3,3,3,5,6,2,6,7,7,6,2
128,7,7,7,7,7,6,7,7,7,7,7,7,7,7,6,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,6,7,6,7,7,7,6,7,7,7,7,7,5,7,7,7,7,7
129,5,5,5,6,6,6,3,6,5,6,6,7,6,6,7,7,6,6,6,5,6,5,7,7,6,5,4,6,7,6,4,4,6,6,6,6,5,6,6,6,7,7,5,6,6,6,7,7
130,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,6,7,6,7,7,7,7,7,7,7,6,7,7,5,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
